Camera,Trial,Arena,Date,Day,Origin,Mark,Sex,Fish_ID,Group,Tank,Notes,tot_dist,mean_velocity,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,latency_high,freq_high
None,1,1,2/03/2020,Monday,WCB,Blu.Bro,female,a9579,Within Control,Tall,"First two tanks started delayed due to evacuation (30 mins, water wasn't changed)Wifi connection lost, may need to change arena settings for following trials",1305.95,2.96807,12.64,11.2,416.24,1.28,440.08,275.04,3
None,1,2,2/03/2020,Monday,WCB,Blu.Gre,female,a9578,Within Control,Tall,,1505.65,3.42192,61.92,63.36,314.8,0.32,440.08,184.4,8
None,1,3,2/03/2020,Monday,WCB,Bro.Bla,female,a9700,Within Control,Tall,,1857.7,4.22204,150.48,122.32,167.28,0.48,440.08,83.68,25
None,1,4,2/03/2020,Monday,WCB,Ora.Gre,male,a9612,Within Control,Tall,,277.191,0.62998,0,0,440.08,281.92,440.08,,0
None,1,5,2/03/2020,Monday,WCB,Red.Bro,male,a9677,Within Control,Tall,,363.707,0.826606,0,0,440.08,202.96,440.08,,0
None,1,6,2/03/2020,Monday,WCB,Blu.Pur,male,a9581,Within Control,Tall,,1190.75,2.70625,124.8,40.88,274.4,4.24,440.08,263.36,12
None,2,1,2/03/2020,Monday,WCB,Pin.Yel,male,a9587,Within Control,Tall,,2022.54,4.59669,86.56,76.24,277.28,0.4,440.08,222.4,14
None,2,2,2/03/2020,Monday,WCB,Blu.Blu,male,a9575,Within Control,Tall,,2133.93,4.84984,11.2,144.16,284.72,0.48,440.08,225.2,5
None,2,3,2/03/2020,Monday,WCB,_.Pur,female,a9605,Within Control,Tall,,1177.8,2.67682,36.48,65.2,338.4,0.16,440.08,356,3
None,2,4,2/03/2020,Monday,WCB,Pin.Whi,male,a9590,Within Control,Tall,,48.4961,0.110218,0,0.56,439.52,394.08,440.08,,0
