Camera,Trial,Arena,Date,Day,Origin,Mark,Sex,Fish_ID,Group,Tank,Notes,tot_dist,mean_velocity,high_dur,mid_dur,low_dur,freezing_dur,arena_dur
1,1,1,4/03/2020,Wed,PB,Bro._,male,a9908,Paternal,Old,,2156.61,5.13772,48.88,50.88,320.24,21.04,420.16
1,1,2,4/03/2020,Wed,PB,Bro.Bro,female,a9910,Paternal,Old,,3438.83,7.81552,3.28,22,414.8,0.56,440.08
1,1,3,4/03/2020,Wed,PB,Blu.Gre,male,a9983,Paternal,Old,,2800.18,6.36404,25.2,34.08,380.16,0.56,440.08
1,1,4,4/03/2020,Wed,PB,Red.Bla,male,a9949,Paternal,Old,,3027.01,6.88709,11.84,55.12,372.64,0.8,439.84
1,2,1,4/03/2020,Wed,PB,_.Pur,male,a9981,Paternal,Old,,2752.88,6.2611,13.6,24.8,401.68,0.24,440.08
1,2,2,4/03/2020,Wed,PB,Whi._,female,a9924,Paternal,Old,,2311.51,5.25631,68.32,142.56,229.2,0.32,440.08
1,2,3,4/03/2020,Wed,PB,_.Ora,female,a9964,Paternal,Old,,3231.91,7.36669,39.04,59.92,340.08,0.4,439.04
1,2,4,4/03/2020,Wed,PB,Pin.Gre,female,a9952,Paternal,Old,,2764.04,6.28192,75.6,76.64,287.6,0.56,440.08
1,3,1,4/03/2020,Wed,PB,Blu.Pur,male,a9975,Paternal,Old,,3074.57,7.00295,3.44,22.32,413.36,10.24,439.12
1,3,2,4/03/2020,Wed,PB,Pin.Ora,female,a9953,Paternal,Old,,2510.82,5.71056,10.88,46.64,382.24,0.88,439.76
1,3,3,4/03/2020,Wed,PB,Yel.Gre,male,a9901,Paternal,Old,,3008.16,6.84419,38,76.88,324.88,0.16,439.76
1,3,4,4/03/2020,Wed,PB,Yel.Pur,female,a9899,Paternal,Old,,4167.93,9.47257,0,1.76,437.92,12.4,440.08
1,4,1,4/03/2020,Wed,WTA,Red.Pur,male,a10166,Within Treatment,Old,Change arena settings,2560.46,5.82029,18.08,33.6,388.32,0.88,440
1,4,2,4/03/2020,Wed,WTA,Pin.Bla,male,a10092,Within Treatment,Old,,2809.48,6.38517,8,60.24,371.84,0.16,440.08
1,4,3,4/03/2020,Wed,WTA,Gre.Blu,female,a10041,Within Treatment,Old,,3400.82,7.73476,1.52,11.36,425.76,11.76,440
1,4,4,4/03/2020,Wed,WTA,Ora.Bro,male,a10070,Within Treatment,Old,,2311.1,5.26398,79.6,78.24,281.68,0.4,439.52
1,5,1,4/03/2020,Wed,WTA,Pin.Gre,female,a10087,Within Treatment,Old,,2251.62,5.12012,34.24,60.32,344.56,0.4,439.84
1,5,2,4/03/2020,Wed,WTA,Blu.Blu,female,a10046,Within Treatment,Old,,1703.29,4.56891,12.48,36.96,324.88,22.08,374.32
1,5,3,4/03/2020,Wed,WTA,Yel._,male,a10095,Within Treatment,Old,,3022.53,6.88064,73.36,73.36,291.76,0.16,439.52
1,5,4,4/03/2020,Wed,WTA,Blu.Yel,male,a10055,Within Treatment,Old,,1854.6,4.2173,55.68,93.92,290.48,0.72,440.08
1,6,1,4/03/2020,Wed,MB,Yel.Bla,female,a9777,Maternal,Old,New arena settings camera 1,2672.49,6.07385,46.88,64.64,328.56,0.4,440.08
1,6,2,4/03/2020,Wed,MB,_.Ora,female,a10198,Maternal,Old,,2221.06,5.0497,47.76,102.8,289.52,0.48,440.08
1,6,3,4/03/2020,Wed,MB,Yel.Ora,female,a9778,Maternal,Old,,2690.8,6.11991,66,52.96,320.8,0.56,439.76
1,6,4,4/03/2020,Wed,MB,Blu.Blu,male,a9843,Maternal,Old,,2974.86,6.76842,0,2.8,425.2,55.44,439.84
1,7,1,4/03/2020,Wed,MB,_.Blu,male,a9844,Maternal,Old,,1335.36,3.03491,33.76,125.2,281.12,0.64,440.08
1,7,2,4/03/2020,Wed,MB,Blu.Gre,male,a9846,Maternal,Old,,1727.74,4.80247,0,1.12,360.24,102.56,361.36
1,7,3,4/03/2020,Wed,MB,Red._,male,a9752,Maternal,Old,,3370.61,7.66047,42.32,78.64,318.88,0.24,440.08
1,7,4,4/03/2020,Wed,MB,Red.Bla,male,a9756,Maternal,Old,,2986.41,6.7873,20.08,41.52,378.48,0.56,440.08
1,8,1,4/03/2020,Wed,MB,Bla.Gre,female,a9787,Maternal,Old,"Added tilt to tanks to see top tanks, bottom part",1801.66,4.09916,58.32,79.2,302,0.48,439.92
1,8,2,4/03/2020,Wed,MB,Gre.Ora,female,a9868,Maternal,Old,,2690.99,6.14157,124.4,79.76,235.28,0.24,439.44
1,8,3,4/03/2020,Wed,MB,_._,female,a9774,Maternal,Old,,3364.73,7.6485,0.4,0.56,437.28,8.96,440.08
1,8,4,4/03/2020,Wed,MB,Ora.Yel,male,a9813,Maternal,Old,,2858.83,6.50088,1.84,19.44,418.72,27.76,440.08
1,9,1,4/03/2020,Wed,WCA,Ora.Gre,female,a9603,Within Control,Old,,3065.32,6.97679,19.6,67.68,352.56,0.16,439.92
1,9,2,4/03/2020,Wed,WCA,Pur.Red,female,a9566,Within Control,Old,,2680.06,6.09104,21.36,50.88,367.84,0.32,440.08
1,9,3,4/03/2020,Wed,WCA,Pin.Gre,male,a9588,Within Control,Old,,2943.9,6.69311,53.68,93.28,293.12,0.16,440.08
1,9,4,4/03/2020,Wed,WCA,Gre.Pur,female,a9556,Within Control,Old,,2838.78,6.45177,15.92,44.72,379.44,0.56,440.08
1,10,1,4/03/2020,Wed,WCA,Gre.Bro,male,a9558,Within Control,Old,,2600.7,5.91391,51.36,71.04,317.44,0.4,439.84
1,10,2,4/03/2020,Wed,WCA,Red.Whi,female,a9679,Within Control,Old,,4285.3,9.76595,10.64,26.56,402.72,2,439.92
1,10,3,4/03/2020,Wed,WCA,Ora.Blu,female,a9607,Within Control,Old,,3493.6,7.94289,49.84,86.48,303.76,0.08,440.08
1,10,4,4/03/2020,Wed,WCA,Ora.Ora,male,a9706,Within Control,Old,,3701.41,8.41536,35.28,44.88,359.84,0.08,440.08
1,11,1,4/03/2020,Wed,PA,_.Gre,male,a9873,Paternal,Old,,2403.63,5.47675,25.6,51.52,362.56,2.96,439.68
1,11,2,4/03/2020,Wed,PA,Pin.Blu,male,a9960,Paternal,Old,,2645.08,6.01593,61.28,97.52,281.28,5.44,440.08
1,11,3,4/03/2020,Wed,PA,Pin.Yel,male,a9956,Paternal,Old,,3049.41,6.93048,34.56,44,361.52,0.16,440.08
1,11,4,4/03/2020,Wed,PA,Gre.Blu,male,a9881,Paternal,Old,,1906.05,4.33193,4.8,28.8,405.28,62.32,440.08
1,12,1,4/03/2020,Wed,PA,Whi.Whi,male,a9926,Paternal,Old,,2239,5.09233,31.12,65.92,342.96,9.92,440
1,12,2,4/03/2020,Wed,PA,Ora.Ora,female,a9962,Paternal,Old,,1867.41,4.24797,14.56,39.12,386.24,40.56,439.92
1,12,3,4/03/2020,Wed,PA,Bla.Pin,male,a9919,Paternal,Old,,2801.92,6.39241,97.04,126.72,214.08,0,438.96
1,12,4,4/03/2020,Wed,PA,Bla.Red,female,a9921,Paternal,Old,,3122.94,7.10792,5.12,19.84,414.32,6.48,439.68
1,13,1,4/03/2020,Wed,PA,Bla.Gre,female,a9922,Paternal,Old,,2246.89,5.11588,84.96,95.12,257.52,0.32,440.08
1,13,2,4/03/2020,Wed,PA,Whi.Red,male,a9931,Paternal,Old,,225.231,0.512448,0,0,439.84,376.16,439.84
